id,Name,audience,countLearner,difficult,category,subcategory,url
216,Essential guide to professional email writing,"นักศึกษา, พนักงาน",804,ปานกลาง,Creative,Lifestyle,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/9ed4b541-3abd-471d-87aa-f89733957e75.jpg
214,ปรับ Mindset พร้อมรับมือทุกปัญหาด้วยเทคนิค Resilience & Adaptability,พนักงาน,2274,ปานกลาง,Business,Soft Skill,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/818378a1-2bf7-42c3-9358-d18ac66f4a1c.jpg
198,ประชุมออนไลน์ให้มีประสิทธิภาพด้วยการใช้ Smart Meeting Productivity tools,พนักงาน,2703,พื้นฐาน,Business,Office Productivity,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/0dbdb782-dfbd-451f-ab40-a64e565e06ed.jpg
197,ต่อยอด Listening & Reading เชิงลึก พิชิต JLPT ระดับ N4 กับ Riko Sensei,,975,ปานกลาง,Creative,Lifestyle,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/3ad3e441-e5bc-4ec3-96c0-4c4e2be58ca9.jpg
196,First step Korean Language for Everyday Life,,1221,พื้นฐาน,Creative,Lifestyle,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/44ea9535-b7a4-4d65-a8f0-f3b3fbfca2ae.jpg
195,เรียนพื้นฐานวิธีคิดและสร้างระบบ ด้วย KidBright,,570,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/a2835002-85a7-4ecb-9100-ce7ebb86f15c.jpg
190,The complete guide to Kubernetes,บุคคลทั่วไป,2478,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/a420c05c-c083-4fe9-b71a-931f6836f668.jpg
188,เริ่มต้นทำเพลงฮิตหลายสไตล์ด้วย Tablet/Ipad เครื่องเดียวกับโปรแกรม Cubasis3,"นักเรียน, นักศึกษา",1113,พื้นฐาน,Creative,Lifestyle,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/f20e5ce0-5451-4eba-8b05-cde91faaa017.jpg
187,เริ่มต้นเป็นนายหน้าอสังหาฯออนไลน์ ในยุคดิจิตอล อย่างมืออาชีพ,"พนักงาน, บุคคลทั่วไป",2097,พื้นฐาน,Creative,Lifestyle,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/b24589a0-0675-4b05-a09b-41d9b86d4470.jpg
177,ออกแบบหลักสูตรออนไลน์มัดใจผู้เรียนจากมืออาชีพ,นักศึกษา,1071,พื้นฐาน,Creative,Lifestyle,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/269b2643-16a1-4a73-bb12-d8066f741645.jpg
176,กลยุทธ์ Digital marketing โดยใช้ NFT & Metaverse,,1350,พื้นฐาน,Business,Digital Marketing,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/4cc0d82e-ec8e-4d2b-97a1-6554cca64e7d.jpg
172,เริ่มต้นค้นหาอัจฉริยะในตัวลูก ฉบับพ่อแม่ยุคใหม่,,861,พื้นฐาน,Creative,Lifestyle,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/3335f782-033a-4462-b742-134db531951e.jpg
171,Mastering Fundamental Golang : Building RESTAPI Project,"นักเรียน, นักศึกษา",2526,พื้นฐาน,Technology,Programming,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/34b7edd7-2068-4a53-a47d-1ad95409ff9b.jpg
169,สร้างคอนเทนต์ให้มีคาแรกเตอร์ด้วย Short Video,พนักงาน,3612,พื้นฐาน,Creative,Content,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/1311f785-e6a5-46b3-8cae-4fb5a44ae673.jpg
163,ติวเข้มคำศัพท์และไวยากรณ์ภาษาญี่ปุ่นเพื่อสอบวัดระดับ JLPT N4 กับ Riko Sensei,,1332,ปานกลาง,Business,Language,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/2b6f4de5-7fd0-41e1-bce0-946c76071fb1.jpg
162,ถ่ายรูปสินค้าให้ดูโปรและวิดีโอสั้น ด้วยมือถือเครื่องเดียว!,,4536,พื้นฐาน,Creative,Photography,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/f0bc3748-404a-4041-84d6-9a16b2449fd8.jpg
159,Advance Technical Analysis,,1911,ปานกลาง,Business,Investment,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/e363fb36-a64d-49db-8b22-d7e23821f694.jpg
158,เจาะลึกวิธีอ่านดูกราฟอย่างมืออาชีพด้วยเทคนิค Technical Analysis,,2643,พื้นฐาน,Business,Investment,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/54d5a397-ef24-4bff-ab53-29e4a899a1bc.jpg
152,Hands-on with python programming labs,,2337,ปานกลาง,Technology,Programming,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1645086743366TNFutureSkillHandsonwithpythonprogramminglabs01.png?alt=media&token=9485ba08-55c0-4dcd-8a77-3c89376acd91
151,สร้างแอปพลิเคชันอย่างง่าย ไม่จำเป็นต้องเขียน Code ลดค่าใช้จ่ายด้วยการใช้ Low Code: Microsoft Power apps,พนักงาน,3903,พื้นฐาน,Technology,Mobile application,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1641976801768FutureSkillPowerApp01.jpg?alt=media&token=2fc8cda0-c3fb-4772-b82c-1d751daf5cdb
150,ปูพื้นฐานเพิ่มประสิทธิภาพการทำงานร่วมกันกับ Google Workspace,,3324,พื้นฐาน,Business,Data and Analytics,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1640667973316FutureSkillgoogleworkspace01.jpg?alt=media&token=464b0931-4b50-46e7-9367-1b051bc313a5
149,เข้าใจลูกค้าสร้างสินค้าและบริการที่ตรงใจด้วยการทำ Customer Experience,"นักเรียน, นักศึกษา",3540,ปานกลาง,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1640607284306FutureSkillCustomerExperience01.jpg?alt=media&token=36bb435b-db5e-44bb-8748-e03923d4250a
148,สร้างสินค้า Digital product ด้วยการวาดภาพลงขายบนโลก NFT ผ่านแอป Procreate & RoughAnimator,บุคคลทั่วไป,6819,พื้นฐาน,Creative,Digital drawing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1640249677608FutureSkillProcreateRoughAnimator01.jpg?alt=media&token=3359aaec-a14a-4c24-ac3f-210e91b26d80
147,เพิ่มยอดขายผ่านการตลาด คลอบคลุมทุก Skill Digital marketing,พนักงาน,6606,พื้นฐาน,Business,Digital Marketing,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/4427c465-2a24-4f84-89e8-d9b7a58cfea4.jpg
146,ยกระดับธุรกิจเพิ่มช่องทางการตลาดให้ปิดการขายได้ด้วย Sale Page,,2133,พื้นฐาน,Technology,Web Development,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1639390563853FutureSkillSalePage01.jpg?alt=media&token=1b7fc60a-8f11-48a0-99ba-f6dc3abf8127
145,ติวเข้มภาษาเกาหลี เพื่อการสื่อสารที่ดีและการสอบ TOPIK I,,6006,ปานกลาง,Business,Language,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1638946250369FutureSkillTOPIK02.png?alt=media&token=4783dd99-e9fb-472d-b20f-e9dd6f16c92f
144,ครบทุกพื้นฐานการสร้าง 2D Animation ด้วย Adobe Character Animator,,1428,พื้นฐาน,Creative,3D Animation,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1638881884777FutureSkillAdobeCharacterAnimator03.jpg?alt=media&token=bcf90376-6062-4f6d-9568-73b1c69963f9
143,ปรับ “พฤติกรรมการใช้ชีวิต” ไม่ให้ Office Syndrome เล่นงาน!,,1557,พื้นฐาน,Creative,Lifestyle,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1638373366321FutureSkillOfficeSyndrome01.jpg?alt=media&token=473ae3fa-6b71-49d6-a2a8-234a40f6e014
142,How To เปิดโลก NFT ตั้งแต่ต้นจนจบอย่างมืออาชีพ,บุคคลทั่วไป,7323,พื้นฐาน,Business,Investment,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1637917069170TNFutureSkillNFTZipmex01.jpg?alt=media&token=1266e408-3812-4928-a4b5-a1c2b3c8e959
141,บริหารผลงานสู่ความสำเร็จด้วย OKRs,พนักงาน,4170,พื้นฐาน,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1636705735347FutureSkillObjectiveKeyResults01.jpg?alt=media&token=bd5c784e-8511-4c17-ac08-a2a66d2ca0bb
140,วาดภาพสีน้ำสร้างคาแรกเตอร์และภาพสไตล์โบทานิคัลบน Procreate ให้มีเอกลักษณ์กับเจ้าของเพจ “เลขา”,บุคคลทั่วไป,7194,ปานกลาง,Creative,Digital drawing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1636616220100FutureSkillProcreate01.jpg?alt=media&token=106d5caa-a07e-4b95-a6cc-69a47c580a77
139,เผยเคล็ดลับสร้างยอดขาย ขยายฐานลูกค้า ผ่านวิธีการทำตลาดบน Twitter,Influencers,1257,พื้นฐาน,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1636008597775TNFutureSkillTwitter01.jpg?alt=media&token=04d8bf2b-4793-4f1d-ba21-277f836e237a
138,เจรจาต่อรองให้ชนะทุกการทำงานอย่างมืออาชีพด้วยเทคนิค Negotiation ,"พนักงาน, บุคคลทั่วไป",5367,พื้นฐาน,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1635953214606FutureSkillNegotiation01.jpg?alt=media&token=d4b5d2ac-71fb-4ade-8e9f-bb81d0aa2c9b
137,ถอดบทเรียนรู้จักการทำงานของสมองอย่างมีประสิทธิภาพกับเทคนิค Learning How To Learn,"นักเรียน, นักศึกษา, บุคคลทั่วไป",4755,พื้นฐาน,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1635744653883FutureSkillLearningHowtoLearnG01.jpg?alt=media&token=bd33c50f-e27f-4943-bd88-6976415d2581
136,วิเคราะห์ข้อมูลเว็บไซต์แบบ Real-Time หา Insight ผู้ใช้งานด้วย Google Analytics,,3186,ปานกลาง,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1635742757471FutureSkill_Google_Analytics01.jpg?alt=media&token=9c21de65-41d7-49eb-afee-80424e74ba63
135,ออกแบบ User Experience Design ให้ตอบโจทย์ผู้ใช้งานสร้างฐานลูกค้าและประสบการณ์ที่ดี,"นักเรียน, นักศึกษา, พนักงาน",3549,พื้นฐาน,Creative,Graphic Design,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1635344470364FutureSkillUserExperienceDesign01.jpg?alt=media&token=11e29dfa-5946-4338-a362-2c06bc8d6f20
134,รู้วิธีทำการตลาดผ่าน Instagram เพื่อดึงดูดลูกค้าและเพิ่มยอดขายให้ธุรกิจ,Influencers,3351,พื้นฐาน,Business,Digital Marketing,https://storage.googleapis.com/futureskill-211009-asia-southeast1-futureskill-211009-bucket/course/3888d2ce-3c68-472a-992a-9f09075d752a.jpg
133,Business English สนทนาภาษาอังกฤษอย่างมั่นใจ ในสไตล์ Native Speaker,,6648,พื้นฐาน,Business,Language,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1634022187408243529151_745632903502027_73787909721208779_n.jpeg?alt=media&token=644e58a2-894f-45ab-bfd2-9247ccd8d984
132,สร้างทักษะผู้นำที่ดี และ Coach ทีมงานอย่างมืออาชีพเพื่อพาองค์กรสู่เป้าหมายอย่างมีประสิทธิภาพ,,4221,พื้นฐาน,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1633068913452thumbnail.png?alt=media&token=072244dd-8271-45f0-87d0-b6ce0e1e9c87
131,รู้เทคนิคเขียนคอนเทนต์ใหัปัง พร้อมสร้างรายได้อย่างมืออาชีพ,,3375,พื้นฐาน,Creative,Content,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1632987516589editcontentwriting.png?alt=media&token=db926bd8-d744-4baf-b4f6-23746e8ef255
130,ภาษี 101 : เข้าใจทุกเรื่องของภาษี วางแผนแบบถูกวิธีและมีประสิทธิภาพกับ TAXBugnoms,นักเรียน,5187,พื้นฐาน,Business,Investment,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1632722181407TAXTN.jpg?alt=media&token=2e1335c7-57bc-4417-9950-f4924b088dee
129,นำเสนอข้อมูลให้น่าสนใจ อย่างตรงประเด็นและมีประสิทธิภาพด้วย Data Storytelling,,4341,พื้นฐาน,Business,Data and Analytics,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1632459043993datastorytelling.jpg?alt=media&token=00d156a7-1f44-4ba4-8b44-7e65b78e8a7e
128,เผยเคล็ดลับวางแผนทางการเงินอย่างมีคุณภาพสร้างความมั่นคงให้กับชีวิต!,"นักเรียน, บุคคลทั่วไป",1881,พื้นฐาน,Business,Investment,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F163188384770601.png?alt=media&token=940809d1-786f-40eb-a353-c2fffb6075ce
127,รู้ทันอาชญากรรมไซเบอร์ ลงมือเจาะระบบหาช่องโหว่ด้วยตัวเอง ไปกับ Ethical Hacking และ Penetration Testing,,3249,พื้นฐาน,Technology,Cyber Security,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1630940982802hacking.jpg?alt=media&token=fe4c3cb5-f2db-4ea9-b064-360519e2e2e3
126,สร้างฐานลูกค้าให้มีประสิทธิภาพ บริหารการตลาดให้สำเร็จด้วย Email Marketing Automation,,1152,พื้นฐาน,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1630666480101EmailMarketingAutomation.png?alt=media&token=c68a30c9-738f-4280-9609-6ccc33b6444f
125,เรียนรู้เทคนิคการเขียนนิยายออนไลน์ พร้อมสร้างรายได้แบบมืออาชีพทันที!,บุคคลทั่วไป,5460,พื้นฐาน,Creative,Content,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1630562601863240857645_173614568215390_444781131772488863_n.jpg?alt=media&token=a22d9b40-6b7e-45c7-ac05-679d6035b201
124,รู้ทันเทรนด์การตลาดแนวใหม่ เข้าถึงกลุ่มเป้าหมายได้มากขึ้นด้วยการทำ TikTok Marketing,"นักเรียน, Influencers",5883,พื้นฐาน,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1630488842934TKcover.png?alt=media&token=45b058fd-bbce-46d4-abd9-bf97c2f88eb7
123,เริ่มต้นทำเพลงด้วย Ableton Live จากพื้นฐานสู่การทำเงินด้วยเสียงเพลง,,10878,พื้นฐาน,Creative,Lifestyle,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1629381919822AbletonLive.jpg?alt=media&token=0a0fcd46-4bfd-42b0-8ff7-1d9ad74fed7c
122,ไขความลับปรับความคิดให้เป็นระบบ ด้วยกระบวนคิดแบบ Systematic Thinking,"พนักงาน, บุคคลทั่วไป",5760,พื้นฐาน,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1629114865892reTNsystematicthinking.png?alt=media&token=5be5d012-5f79-4316-9e86-f1fdcf50c2de
121,วิเคราะห์และพยากรณ์พฤติกรรมของผู้บริโภคเพื่อการตัดสินใจทางธุรกิจด้วย Machine Learning,"นักเรียน, นักศึกษา",6180,ปานกลาง,Technology,Programming,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1628002565815MachineLearning.png?alt=media&token=25967399-06dd-4683-a78c-4bd5c30a54d9
120,สื่อสารได้อย่างมีประสิทธิภาพเข้าใจได้ตรงจุด Success ทุกการสนทนาได้อย่างมืออาชีพ,,3042,ปานกลาง,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1627979711057.png?alt=media&token=4d0642db-e02d-4f04-8115-27bd1d72f1ab
119,พัฒนาซอฟต์แวร์ระบบ Microservices อย่างเข้าใจและทำงานได้จริง ให้พร้อมประยุกต์ใช้งาน,"นักเรียน, นักศึกษา",3720,ปานกลาง,Technology,Programming,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1627634395932Microservices.png?alt=media&token=50e4ab8e-06f5-4731-be38-0d1352370fc0
118,ลงทุนหุ้นแบบ Worldwide ปั้นมือใหม่สร้างกำไรในหุ้นต่างประเทศ,"นักเรียน, บุคคลทั่วไป",2244,ปานกลาง,Business,Investment,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1627051563225Worldwide1.png?alt=media&token=78027780-508d-4698-9cb9-6aac75569db6
117,รู้ลึกเรื่อง Coding ภาษา C แบบมีหลักการ พร้อมลงมือเขียนจริงแบบ step by step,"นักเรียน, นักศึกษา",5085,พื้นฐาน,Technology,Programming,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1627368004000CPrograming2.png?alt=media&token=4868ca0a-1721-4ce8-b768-54b5aab362b2
116,Intensive SEO ทำเว็บไซต์ให้ติดหน้าแรกบน Google โดยไม่เสียค่าใช้จ่าย,,3615,ปานกลาง,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1627038898199SEO.jpg?alt=media&token=7220a55e-6b99-4961-a59e-1adcc149e1a5
115,รู้ลึกเรื่องบริหารทีมให้มีประสิทธิภาพแบบฉบับหัวหน้ายุคใหม่กับ HR มืออาชีพ (People Management),,2301,พื้นฐาน,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1625049159786hr.png?alt=media&token=d2df5b5a-77c8-4792-9b30-096d61bd71f6
114,เจาะข้อมูลทางภาษา หา insight ใน data ด้วย Natural Language Processing และ Deep learning,"นักเรียน, นักศึกษา",4164,ปานกลาง,Technology,Programming,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F16248846723612.png?alt=media&token=6538ee0f-9140-4163-bc98-7e005e01cc68
113,พัฒนาวิธีคิด รู้เทคนิคการแก้ปัญหา ต่อยอดสู่การทำงานด้วย Problem Solving Skill,,5598,พื้นฐาน,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1624635944411problemsolvingskillmin.jpg?alt=media&token=90b4cbec-2589-4b74-94be-0d46af22285b
112,สร้าง Dashboard วิเคราะห์ข้อมูลอย่างมีประสิทธิภาพด้วย Tableau,พนักงาน,5703,ปานกลาง,Business,Data and Analytics,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F16245403311502Tableau.jpg?alt=media&token=f815efed-f088-4089-9145-1e00aeceaf9b
111,เจาะลึกพื้นฐานภาษาญี่ปุ่นให้สื่อสารอย่างมั่นใจกับ Japanese for everyone!,,5526,พื้นฐาน,Business,Language,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1624444158637.png?alt=media&token=a7d5076c-315b-4c88-a74c-a98ddaa529cd
110,ติดอาวุธพิชิตปัญหากับแนวคิด Growth Mindset ให้เติบโตแบบก้าวกระโดด,"นักเรียน, พนักงาน, บุคคลทั่วไป",5394,พื้นฐาน,Business,Soft Skill,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1624351671718GrowthMindset2.png?alt=media&token=58dcfa66-bd9b-4218-b30f-21a3565dfb59
109,ทำ Line Marketing แบบตอบโจทย์การตลาดครบวงจรสำหรับธุรกิจยุคใหม่,,5445,พื้นฐาน,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1622649356275lineoa01.png?alt=media&token=f4eb0046-a001-4701-bbef-2dbca7a49774
108,เปิดร้านอาหารออนไลน์ ให้ขายดี ไม่ต้องมีหน้าร้านแบบ Food Delivery,,4182,พื้นฐาน,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1622619559369FoodDelivery1.jpg?alt=media&token=827589b1-656b-4983-a4f7-e570c5579e0d
107,ปั้นธุรกิจให้โตแบบก้าวกระโดด ตรงเป้าหมาย ด้วยกลยุทธ์ Growth Hacking,,2559,พื้นฐาน,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1621849100877thumbnail101.png?alt=media&token=8d017fd1-d007-4a1d-a814-784fdd18c66a
106,รู้เทคนิคซื้อ Facebook Ads สร้างรายได้ผ่านวิกฤตจากมืออาชีพ,,6573,ปานกลาง,Business,Digital Marketing,https://firebasestorage.googleapis.com/v0/b/futureskill-211009.appspot.com/o/images%2Ffull%2F1621438831988FacebookAds.jpg?alt=media&token=5c8f0f81-a606-4e1f-b7d1-867ebb78dd37
